COUNTRY,SEX,YEAR,E0,E0_lo,E0_hi,E065,E065_lo,E065_hi,E65,E65_lo,E65_hi,ll65,ll65_lo,ll65_hi,Eadj65,Eadj65_lo,Eadj65_hi
AUS,m,2020,81.462,81.353,81.567,63.331,63.313,63.348,20.399,20.281,20.51,88881,88796,88964,18.131,18.025,18.23
AUS,f,2020,85.5,85.38,85.616,64.015,63.997,64.032,23.004,22.883,23.124,93396,93304,93489,21.485,21.365,21.598
AUS,b,2020,83.483,83.309,83.641,63.672,63.647,63.696,21.735,21.557,21.904,91149,91026,91272,19.811,19.647,19.968
RUS,m,2020,68.783,68.622,68.956,59.582,59.497,59.669,14.254,14.144,14.371,64547,64015,65066,9.2,9.101,9.307
RUS,f,2020,78.498,78.386,78.61,62.686,62.654,62.717,18.518,18.417,18.619,85388,85153,85617,15.812,15.717,15.909
RUS,b,2020,73.805,73.576,74.024,61.133,61.034,61.227,16.861,16.686,17.036,75155,74523,75762,12.672,12.499,12.838
AUT,m,2020,79.746,79.627,79.872,63.411,63.382,63.443,18.634,18.527,18.744,87663,87394,87933,16.335,16.228,16.45
AUT,f,2020,84.327,84.209,84.447,64.09,64.07,64.109,21.731,21.611,21.851,93125,92987,93249,20.236,20.121,20.351
AUT,b,2020,82.077,81.905,82.243,63.745,63.707,63.782,20.285,20.117,20.447,90370,90063,90684,18.331,18.169,18.489
BEL,m,2020,79.825,79.719,79.931,63.314,63.292,63.336,18.869,18.771,18.971,87503,87284,87721,16.511,16.415,16.608
BEL,f,2020,84.142,83.989,84.292,63.953,63.929,63.975,21.929,21.774,22.087,92068,91899,92223,20.189,20.041,20.333
BEL,b,2020,82.019,81.842,82.198,63.629,63.596,63.661,20.49,20.311,20.671,89756,89496,90033,18.391,18.224,18.561
BGR,m,2020,71.715,71.64,71.792,61.393,61.351,61.432,14.301,14.238,14.363,72176,71978,72359,10.322,10.27,10.376
BGR,f,2020,78.849,78.677,79.037,63.146,63.097,63.196,18.106,17.918,18.311,86726,86619,86829,15.703,15.541,15.882
BGR,b,2020,75.222,75.045,75.383,62.24,62.176,62.303,16.379,16.201,16.552,79257,79032,79482,12.982,12.836,13.12
CAN,m,2020,80.38,80.265,80.492,63.036,63.02,63.051,19.821,19.694,19.939,87505,87374,87634,17.345,17.231,17.454
CAN,f,2020,84.535,84.446,84.619,63.743,63.732,63.754,22.595,22.504,22.683,92020,91933,92104,20.792,20.705,20.873
CAN,b,2020,82.472,82.316,82.623,63.383,63.364,63.401,21.271,21.107,21.436,89741,89575,89900,19.089,18.937,19.238
CHE,m,2020,82.119,81.972,82.271,63.763,63.736,63.791,20.182,20.037,20.327,90952,90726,91186,18.356,18.218,18.499
CHE,f,2020,85.684,85.597,85.773,64.195,64.179,64.21,22.749,22.663,22.834,94463,94335,94585,21.49,21.405,21.575
CHE,b,2020,83.954,83.767,84.146,63.975,63.943,64.006,21.557,21.37,21.739,92681,92410,92944,19.979,19.803,20.161
CHL,m,2020,77.597,77.426,77.775,62.393,62.354,62.433,18.061,17.889,18.235,84182,83848,84541,15.204,15.042,15.37
CHL,f,2020,82.741,82.529,82.956,63.536,63.503,63.571,21.048,20.838,21.273,91243,90958,91550,19.205,18.996,19.415
CHL,b,2020,80.227,79.969,80.514,62.964,62.911,63.016,19.671,19.4,19.945,87756,87308,88217,17.262,17.012,17.53
CZE,m,2020,76.571,76.466,76.671,62.936,62.907,62.964,16.42,16.336,16.504,83040,82731,83335,13.635,13.547,13.721
CZE,f,2020,82.295,82.151,82.442,63.957,63.938,63.975,20.015,19.866,20.166,91621,91443,91800,18.338,18.2,18.484
CZE,b,2020,79.446,79.272,79.625,63.43,63.394,63.465,18.361,18.198,18.53,87227,86872,87577,16.015,15.853,16.179
DEUTNP,m,2020,78.983,78.875,79.086,63.292,63.264,63.318,18.227,18.116,18.334,86089,85900,86267,15.691,15.592,15.786
DEUTNP,f,2020,83.629,83.471,83.785,63.976,63.956,63.996,21.335,21.177,21.505,92114,91991,92234,19.653,19.503,19.81
DEUTNP,b,2020,81.316,81.127,81.514,63.627,63.592,63.662,19.864,19.679,20.067,89054,88815,89284,17.689,17.514,17.874
DNK,m,2020,79.677,79.58,79.777,63.472,63.451,63.492,18.526,18.434,18.622,87473,87308,87649,16.205,16.115,16.298
DNK,f,2020,83.595,83.482,83.716,64.034,64.018,64.05,21.205,21.09,21.32,92247,92079,92409,19.561,19.451,19.674
DNK,b,2020,81.639,81.489,81.786,63.749,63.724,63.775,19.916,19.765,20.06,89827,89594,90069,17.89,17.749,18.033
ESP,m,2020,81.055,80.932,81.175,63.672,63.646,63.698,19.582,19.462,19.693,88769,88583,88960,17.383,17.27,17.491
ESP,f,2020,86.346,86.192,86.51,64.224,64.207,64.241,23.483,23.323,23.652,94206,94145,94269,22.123,21.971,22.283
ESP,b,2020,83.746,83.56,83.945,63.946,63.914,63.979,21.643,21.448,21.842,91488,91280,91694,19.8,19.618,19.987
