Country,Sex,Age,Year,Sexi,mx,mx_se
AUS,m,0,2021,1,0.002998586,0.000153707
AUS,m,1,2021,1,0.000135865,7.89E-06
AUS,m,5,2021,1,7.26E-05,3.50E-06
AUS,m,10,2021,1,9.61E-05,2.19E-06
AUS,m,15,2021,1,0.000359591,1.15E-05
AUS,m,20,2021,1,0.000534423,1.74E-05
AUS,m,25,2021,1,0.000591893,2.09E-05
AUS,m,30,2021,1,0.000748282,2.30E-05
AUS,m,35,2021,1,0.001081456,1.24E-05
AUS,m,40,2021,1,0.001499459,1.42E-05
AUS,m,45,2021,1,0.002199601,1.96E-05
AUS,m,50,2021,1,0.003215719,3.20E-05
AUS,m,55,2021,1,0.004897334,4.77E-05
AUS,m,60,2021,1,0.007317355,0.000114843
AUS,m,65,2021,1,0.010671509,0.000311269
AUS,m,70,2021,1,0.017256956,0.000540159
AUS,m,75,2021,1,0.029446849,0.001041341
AUS,m,80,2021,1,0.054924436,0.001657159
AUS,m,85,2021,1,0.103213965,0.002469851
AUS,m,90,2021,1,0.184821811,0.003742856
AUS,m,95,2021,1,0.32003097,0.003803727
AUS,m,100,2021,1,0.512590264,0.00052624
AUS,f,0,2021,2,0.002464385,0.000176776
AUS,f,1,2021,2,0.000108482,8.83E-06
AUS,f,5,2021,2,5.39E-05,4.57E-06
AUS,f,10,2021,2,6.97E-05,2.43E-06
AUS,f,15,2021,2,0.000184548,7.22E-06
AUS,f,20,2021,2,0.000202558,9.93E-06
AUS,f,25,2021,2,0.000245161,1.06E-05
AUS,f,30,2021,2,0.000363392,8.56E-06
AUS,f,35,2021,2,0.000571149,8.23E-06
AUS,f,40,2021,2,0.000875356,8.54E-06
AUS,f,45,2021,2,0.001285809,2.56E-05
AUS,f,50,2021,2,0.001962207,3.15E-05
AUS,f,55,2021,2,0.002920331,4.21E-05
AUS,f,60,2021,2,0.004199286,0.000124478
AUS,f,65,2021,2,0.006421377,0.000223148
AUS,f,70,2021,2,0.01078775,0.000416678
AUS,f,75,2021,2,0.019460339,0.000723831
AUS,f,80,2021,2,0.03787181,0.001379563
AUS,f,85,2021,2,0.077155719,0.002272797
AUS,f,90,2021,2,0.150988999,0.003573706
AUS,f,95,2021,2,0.269687624,0.003832734
AUS,f,100,2021,2,0.461021923,0.001340017
AUS,b,0,2021,3,0.002739467,0.000234255
AUS,b,1,2021,3,0.000122573,1.18E-05
AUS,b,5,2021,3,6.35E-05,5.76E-06
AUS,b,10,2021,3,8.32E-05,3.27E-06
AUS,b,15,2021,3,0.000274461,1.35E-05
AUS,b,20,2021,3,0.000373275,2.00E-05
AUS,b,25,2021,3,0.000421247,2.34E-05
AUS,b,30,2021,3,0.000553597,2.46E-05
