COUNTRY,SEX,YEAR,E0,E0_lo,E0_hi,E065,E065_lo,E065_hi,E65,E65_lo,E65_hi,ll65,ll65_lo,ll65_hi,Eadj65,Eadj65_lo,Eadj65_hi
AUS,m,2021,81.638,81.49,81.793,63.356,63.332,63.381,20.543,20.379,20.706,88993,88876,89121,18.282,18.136,18.433
AUS,f,2021,85.626,85.455,85.807,64.03,64.005,64.055,23.106,22.93,23.292,93467,93335,93594,21.597,21.43,21.769
AUS,b,2021,83.635,83.398,83.876,63.692,63.655,63.728,21.858,21.601,22.11,91240,91064,91424,19.943,19.707,20.177
RUS,m,2021,69.353,69.116,69.598,59.828,59.711,59.95,14.486,14.316,14.656,65752,65000,66518,9.525,9.37,9.685
RUS,f,2021,78.856,78.692,79.018,62.774,62.73,62.82,18.726,18.57,18.878,85880,85557,86213,16.082,15.933,16.227
RUS,b,2021,74.277,73.95,74.605,61.301,61.164,61.433,17.071,16.819,17.335,76014,75093,76915,12.976,12.726,13.22
AUT,m,2021,79.932,79.757,80.104,63.455,63.411,63.498,18.734,18.584,18.893,87949,87548,88375,16.477,16.324,16.638
AUT,f,2021,84.452,84.286,84.627,64.111,64.083,64.139,21.815,21.644,21.989,93243,93053,93443,20.341,20.182,20.51
AUT,b,2021,82.233,81.983,82.479,63.778,63.728,63.831,20.376,20.14,20.616,90571,90122,91041,18.455,18.22,18.682
BEL,m,2021,80.051,79.899,80.211,63.358,63.325,63.389,19.013,18.867,19.164,87801,87504,88091,16.693,16.556,16.839
BEL,f,2021,84.285,84.068,84.505,63.975,63.942,64.007,22.032,21.818,22.264,92187,91971,92409,20.311,20.106,20.533
BEL,b,2021,82.205,81.945,82.462,63.662,63.616,63.709,20.612,20.357,20.875,89965,89578,90358,18.544,18.295,18.793
BGR,m,2021,71.878,71.765,71.987,61.46,61.402,61.516,14.375,14.285,14.463,72467,72170,72754,10.417,10.338,10.49
BGR,f,2021,79.005,78.744,79.262,63.178,63.107,63.249,18.23,17.964,18.508,86814,86674,86951,15.826,15.596,16.069
BGR,b,2021,75.387,75.131,75.635,62.291,62.199,62.384,16.484,16.226,16.742,79446,79107,79781,13.096,12.877,13.311
CAN,m,2021,80.553,80.386,80.721,63.052,63.031,63.073,19.97,19.793,20.148,87636,87448,87833,17.501,17.338,17.66
CAN,f,2021,84.67,84.545,84.8,63.752,63.736,63.766,22.713,22.586,22.847,92101,91981,92220,20.919,20.797,21.042
CAN,b,2021,82.627,82.406,82.855,63.396,63.368,63.422,21.403,21.173,21.644,89848,89617,90079,19.231,19.013,19.455
CHE,m,2021,82.333,82.11,82.547,63.801,63.761,63.84,20.322,20.119,20.531,91187,90843,91531,18.531,18.326,18.739
CHE,f,2021,85.807,85.679,85.947,64.214,64.193,64.237,22.829,22.71,22.961,94584,94401,94769,21.592,21.474,21.724
CHE,b,2021,84.122,83.843,84.424,64.004,63.96,64.051,21.664,21.396,21.945,92861,92469,93249,20.118,19.854,20.393
CHL,m,2021,77.773,77.528,78.026,62.435,62.378,62.491,18.167,17.927,18.43,84428,83938,84933,15.338,15.111,15.577
