Country,Year,Sex,Age,Mx,Dx,Px,ex
AUS,2022,m,0,0.003270969,465.8242166,142411.6849,80.82464508
AUS,2022,m,1,0.000128265,78.43732585,611526.7908,80.08889057
AUS,2022,m,5,6.40597994745097e-05,52.56959424,820633.1377,76.1292089
AUS,2022,m,10,0.000102955,85.79926231,833367.4468,71.15279604
AUS,2022,m,15,0.000390855,303.1068896,775497.8661,66.18814585
AUS,2022,m,20,0.000590449,483.0290594,818071.1625,61.3127316
AUS,2022,m,25,0.000662032,606.7932877,916562.3853,56.48661778
AUS,2022,m,30,0.000790757,743.7783909,940590.5478,51.66561829
AUS,2022,m,35,0.001170768,1088.708572,929909.5149,46.86039358
AUS,2022,m,40,0.001614625,1351.953402,837317.3576,42.12083458
AUS,2022,m,45,0.002316002,1853.511826,800306.8169,37.44199488
AUS,2022,m,50,0.003366359,2720.093439,808022.3028,32.84897989
AUS,2022,m,55,0.005229777,3933.557317,752146.2728,28.36414332
AUS,2022,m,60,0.007628344,5521.844042,723858.8149,24.04942146
AUS,2022,m,65,0.011716474,7355.993822,627833.3847,19.88733316
AUS,2022,m,70,0.01914665,10592.88322,553249.9494,15.93666042
AUS,2022,m,75,0.032342424,13543.30344,418747.3164,12.28766357
AUS,2022,m,80,0.059952061,15655.61903,261135.6271,9.009683132
AUS,2022,m,85,0.109357022,15600.64077,142657.879,6.305059019
AUS,2022,m,90,0.206377136,12517.3888,60652.98253,4.168434041
AUS,2022,m,95,0.358878753,4809.774632,13402.22733,2.725107365
AUS,2022,m,100,0.604492391,679.9940933,1124.900998,1.654280543
AUS,2022,f,0,0.002816442,379.5311021,134755.542,84.8804248
AUS,2022,f,1,0.000108233,62.54186908,577844.2198,84.11935504
AUS,2022,f,5,4.98103766360335e-05,38.59310528,774800.5113,80.15512086
AUS,2022,f,10,7.55460238689936e-05,59.55436715,788319.0154,75.17446342
AUS,2022,f,15,0.000211003,153.9748331,729727.0599,70.20191994
AUS,2022,f,20,0.000223401,171.5852185,768059.3828,65.27338429
AUS,2022,f,25,0.000266826,236.8313323,887588.2863,60.34354165
AUS,2022,f,30,0.000400125,382.8327113,956782.8023,55.42076387
AUS,2022,f,35,0.000617133,582.4422058,943787.0977,50.52674448
AUS,2022,f,40,0.000946772,810.6782029,856254.5658,45.67516793
AUS,2022,f,45,0.001384043,1130.29226,816659.8928,40.88003814
AUS,2022,f,50,0.002132475,1779.777219,834606.523,36.14655841
AUS,2022,f,55,0.0031326,2440.906435,779195.1141,31.50723339
AUS,2022,f,60,0.004509058,3454.346875,766090.5456,26.9651599
AUS,2022,f,65,0.006865782,4642.946358,676244.3445,22.52302264
AUS,2022,f,70,0.011741181,6982.77032,594724.6805,18.22239556
AUS,2022,f,75,0.021207254,9615.64898,453413.1934,14.17330505
AUS,2022,f,80,0.041186056,12614.10322,306271.2102,10.48039846
AUS,2022,f,85,0.08196476,15968.32188,194819.357,7.312440625
AUS,2022,f,90,0.167384075,17294.94294,103324.9005,4.792986757
AUS,2022,f,95,0.304330235,9816.284793,32255.3715,3.092928232
AUS,2022,f,100,0.536136667,2375.649489,4431.052072,1.865196062
AUS,2022,b,0,0.003049893,845.3303552,277167.2269,82.84004142
AUS,2022,b,1,0.000118529,140.9749938,1189371.011,82.09255437
