COUNTRY,SEX,AGE,YEAR,SEXi,E0,E0_lo,E0_hi
AUS,m,0,2023,1,81.89434452,81.6521245,82.12602046
AUS,f,0,2023,2,85.76300233,85.48101251,86.03676306
AUS,b,0,2023,3,83.82972081,83.38488859,84.16804387
RUS,m,0,2023,1,.,.,.
RUS,f,0,2023,2,.,.,.
RUS,b,0,2023,3,.,.,.
AUT,m,0,2023,1,80.29519147,80.06001706,80.56341709
AUT,f,0,2023,2,84.69695557,84.44257017,84.88548048
AUT,b,0,2023,3,82.53979612,82.05127952,82.95632805
BEL,m,0,2023,1,80.50381096,80.28217281,80.71047238
BEL,f,0,2023,2,84.57066945,84.150696,84.87043056
BEL,b,0,2023,3,82.60738479,82.15714849,82.95374987
BGR,m,0,2023,1,72.20375048,71.99184613,72.34958826
BGR,f,0,2023,2,79.32581352,78.91337706,79.70336069
BGR,b,0,2023,3,75.7152487,75.3153197,76.12139128
CAN,m,0,2023,1,80.86579882,80.62891466,81.08166868
CAN,f,0,2023,2,84.90585488,84.71624799,85.08107735
CAN,b,0,2023,3,82.90314674,82.59422312,83.20858748
CHE,m,0,2023,1,82.75272567,82.42499269,83.06176143
CHE,f,0,2023,2,86.04840693,85.8620973,86.26990013
CHE,b,0,2023,3,84.49362932,84.02049495,84.89963538
CHL,m,0,2023,1,78.22697369,77.89668894,78.65225954
CHL,f,0,2023,2,83.27434149,82.85354211,83.69919487
CHL,b,0,2023,3,80.81530102,80.28936547,81.3347998
CZE,m,0,2023,1,77.16406933,76.92865181,77.37785221
CZE,f,0,2023,2,82.81455092,82.29532193,83.12749437
CZE,b,0,2023,3,80.00413971,79.6565202,80.47349252
DEUTNP,m,0,2023,1,79.46683399,79.21437805,79.72459535
DEUTNP,f,0,2023,2,83.93833768,83.57079152,84.2773411
DEUTNP,b,0,2023,3,81.71270021,81.39497249,82.110225
DNK,m,0,2023,1,80.34544447,80.08685147,80.58550899
DNK,f,0,2023,2,84.15789272,83.91178527,84.44077121
DNK,b,0,2023,3,82.25526057,81.88899716,82.56717283
ESP,m,0,2023,1,81.65571082,81.35706392,81.85119623
ESP,f,0,2023,2,86.80586853,86.43420739,87.1921247
ESP,b,0,2023,3,84.28870637,83.82643415,84.64458127
